menu,weather,corr,month
milmyeon_only,sumGsr,0.18239239685945377,3
delivery,sumGsr,0.05783762905585245,3
side_menu,sumGsr,0.17312239863864032,3
drinks_alcohol,sumGsr,0.08471445247829767,3
product_sales,sumGsr,0.012419068761383295,3
kalguksu,sumGsr,,3
takeaway,sumGsr,0.06041752072481753,3
total,sumSsHr,0.28400540162699345,3
hot_milmyeon,sumSsHr,0.07043357657804271,3
milmyeon_with_mandu,sumSsHr,0.27085837122159073,3
milmyeon_only,sumSsHr,0.16016491687238674,3
delivery,sumSsHr,0.06520819401796542,3
side_menu,sumSsHr,0.16042831311664627,3
drinks_alcohol,sumSsHr,0.09250457108408129,3
product_sales,sumSsHr,-0.007548034074223086,3
kalguksu,sumSsHr,,3
takeaway,sumSsHr,0.06569954701706646,3
total,avgTca,-0.21552813601437296,3
hot_milmyeon,avgTca,-0.14478903211628397,3
milmyeon_with_mandu,avgTca,-0.16553632963159645,3
milmyeon_only,avgTca,-0.1309155007598167,3
delivery,avgTca,-0.008307709766273878,3
side_menu,avgTca,-0.15400701449643375,3
drinks_alcohol,avgTca,-0.10371111306179488,3
product_sales,avgTca,-0.019525028130080422,3
kalguksu,avgTca,,3
takeaway,avgTca,-0.08901975224515335,3
total,sumRn,-0.14554488424532383,3
hot_milmyeon,sumRn,-0.12802513625315315,3
milmyeon_with_mandu,sumRn,-0.03587624974801678,3
milmyeon_only,sumRn,-0.14935346908285324,3
delivery,sumRn,-0.05861052039019897,3
side_menu,sumRn,-0.14946355798060282,3
drinks_alcohol,sumRn,-0.13516255917976333,3
product_sales,sumRn,-0.05477884201283836,3
kalguksu,sumRn,,3
takeaway,sumRn,-0.0776584260866034,3
total,avgPa,-0.09336763700911543,3
hot_milmyeon,avgPa,0.17136094995081805,3
milmyeon_with_mandu,avgPa,-0.21555297918034555,3
milmyeon_only,avgPa,0.010090601518867542,3
delivery,avgPa,0.04483600393489003,3
side_menu,avgPa,0.0444966974328174,3
drinks_alcohol,avgPa,0.015407890372851958,3
product_sales,avgPa,-0.06022870021950754,3
kalguksu,avgPa,,3
takeaway,avgPa,0.071760969014661,3
total,diurnal_range,0.2891782008510728,3
hot_milmyeon,diurnal_range,0.16056127571954598,3
milmyeon_with_mandu,diurnal_range,0.21772208949261385,3
milmyeon_only,diurnal_range,0.18557599630804808,3
delivery,diurnal_range,0.024671786138056047,3
side_menu,diurnal_range,0.1981483902584339,3
